player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
xnfri,DFM,5,0,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119519,184458,Controller,24,Yes,lose
BORKUM,TS,1,1,0,0,0,2,0,0,0,Omen,Ascent,League Play: Week 1,119521,184459,Controller,18,No,win
JessieVash,TS,3,0,0,0,0,0,0,0,0,Sova,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,win
DubsteP,TS,4,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119521,184459,Duelist,18,No,win
Jremy,TS,4,1,1,0,1,1,0,0,0,Killjoy,Ascent,League Play: Week 1,119521,184459,Sentinel,18,No,win
invy,TS,4,1,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,win
Patt,TLN,3,0,0,0,0,0,0,0,0,Sage,Ascent,League Play: Week 1,119521,184459,Sentinel,18,No,lose
Crws,TLN,1,1,0,0,0,0,0,0,0,Astra,Ascent,League Play: Week 1,119521,184459,Controller,18,No,lose
foxz,TLN,1,0,0,0,0,0,0,0,0,Fade,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,lose
JitBoyS,TLN,2,1,0,0,1,0,0,0,0,Kayo,Ascent,League Play: Week 1,119521,184459,Initiator,18,No,lose
garnetS,TLN,2,1,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 1,119521,184459,Duelist,18,No,lose
BORKUM,TS,0,1,0,0,1,0,0,0,0,Viper,Icebox,League Play: Week 1,119522,184459,Controller,21,No,lose
JessieVash,TS,1,1,0,0,0,0,0,0,0,Sova,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,lose
DubsteP,TS,2,1,0,0,0,0,0,0,0,Killjoy,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,lose
Jremy,TS,3,2,0,0,1,0,0,0,0,Sage,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,lose
invy,TS,6,2,0,1,0,1,0,0,0,Kayo,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,lose
Patt,TLN,2,3,0,0,0,0,0,0,0,Harbor,Icebox,League Play: Week 1,119522,184459,Controller,21,No,win
Sushiboys,TLN,5,0,0,0,2,0,0,0,0,Killjoy,Icebox,League Play: Week 1,119522,184459,Sentinel,21,No,win
Crws,TLN,7,0,0,0,1,0,0,0,0,Viper,Icebox,League Play: Week 1,119522,184459,Controller,21,No,win
foxz,TLN,4,1,0,0,0,0,0,0,0,Sova,Icebox,League Play: Week 1,119522,184459,Initiator,21,No,win
garnetS,TLN,4,0,0,0,0,0,0,0,0,Jett,Icebox,League Play: Week 1,119522,184459,Duelist,21,No,win
BORKUM,TS,5,2,0,0,1,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119523,184459,Controller,16,No,win
JessieVash,TS,4,1,0,0,1,0,0,0,0,Fade,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,win
DubsteP,TS,3,1,0,0,0,1,0,0,0,Cypher,Fracture,League Play: Week 1,119523,184459,Sentinel,16,No,win
Jremy,TS,2,0,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119523,184459,Duelist,16,No,win
invy,TS,0,1,0,0,1,0,0,0,0,Breach,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,win
Sushiboys,TLN,1,0,0,0,0,0,0,0,0,Killjoy,Fracture,League Play: Week 1,119523,184459,Sentinel,16,No,lose
Crws,TLN,1,1,0,0,0,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119523,184459,Controller,16,No,lose
foxz,TLN,0,2,0,0,0,0,0,0,0,Kayo,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,lose
JitBoyS,TLN,3,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119523,184459,Initiator,16,No,lose
garnetS,TLN,1,0,0,0,0,0,0,0,0,Neon,Fracture,League Play: Week 1,119523,184459,Duelist,16,No,lose
xffero,RRQ,5,0,1,0,1,0,0,0,0,Fade,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,lose
fl1pzjder,RRQ,4,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,lose
EJAY,RRQ,1,1,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119524,184460,Duelist,22,No,lose
Lmemore,RRQ,1,1,0,0,0,0,0,0,0,Cypher,Fracture,League Play: Week 1,119524,184460,Sentinel,22,No,lose
2ge,RRQ,4,1,0,0,1,0,0,0,0,Brimstone,Fracture,League Play: Week 1,119524,184460,Controller,22,No,lose
k1Ng,GEN,4,1,1,0,2,0,0,0,0,Viper,Fracture,League Play: Week 1,119524,184460,Controller,22,No,win
TS,GEN,0,3,0,0,0,0,0,0,0,Astra,Fracture,League Play: Week 1,119524,184460,Controller,22,No,win
eKo,GEN,3,0,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,win
GodDead,GEN,0,1,0,0,1,0,0,0,0,Kayo,Fracture,League Play: Week 1,119524,184460,Initiator,22,No,win
Meteor,GEN,4,0,2,0,0,0,0,0,0,Raze,Fracture,League Play: Week 1,119524,184460,Duelist,22,No,win
